"date","version_id","ad_id","page_id","page_name","status","first_observed_by_us","meta_active_since","days_observed_running","creative_hash","duplicate_group","landing_url","notes"
"2026-06-17","legacy-before-version-tracking","1281815743823930","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","b84ee42a","b84ee42a","https://s.shopee.com.my/7pm9lyK65t",""
"2026-06-17","legacy-before-version-tracking","901263096247717","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","2b724a30","2b724a30","https://s.shopee.com.my/AA9deTnGws",""
"2026-06-17","legacy-before-version-tracking","715611427949545","f60d442d","Media Masta","Active","2026-06-17","2025-07-18","333","e9eec604","e9eec604","https://s.shopee.com.my/8fDzSm97jH",""
"2026-06-17","legacy-before-version-tracking","918366711103396","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","efe51e3d","efe51e3d","https://s.shopee.com.my/8pfWAV5KuP",""
"2026-06-17","legacy-before-version-tracking","1227533652826356","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","8020d935","8020d935","https://s.shopee.com.my/9UunVFRdbk",""
"2026-06-17","legacy-before-version-tracking","1264121828417503","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","e61ed036","e61ed036","https://s.shopee.com.my/AA9deTnGws",""
"2026-06-17","legacy-before-version-tracking","911410805088019","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","8ca2d011","8ca2d011","https://s.shopee.com.my/2LSIAmeVSN",""
"2026-06-17","legacy-before-version-tracking","903235739175341","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","e2c350e4","e2c350e4","https://s.shopee.com.my/2B8PVeEV4h",""
"2026-06-17","legacy-before-version-tracking","1470407461417707","216afa76","See summary details Media Masta","Active","2026-06-17","2026-03-17","91","f6a8b04c","f6a8b04c","https://s.shopee.com.my/8KjLo9Rgo9",""
"2026-06-17","legacy-before-version-tracking","906936235490635","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","f522627f","f522627f","https://s.shopee.com.my/9UunVFRdbk",""
"2026-06-17","legacy-before-version-tracking","1225254576042501","f60d442d","Media Masta","Active","2026-06-17","2026-03-27","81","866cc991","866cc991","https://s.shopee.com.my/4LByW9dhla",""
"2026-06-17","legacy-before-version-tracking","2232001947534832","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","b00d757","b00d757","https://s.shopee.com.my/AUmYdRaQE8",""
"2026-06-17","legacy-before-version-tracking","982364740893856","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","e692c839","e692c839","https://s.shopee.com.my/9AJhKcdE3d",""
"2026-06-17","legacy-before-version-tracking","1471595948003930","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","e7aa28f3","e7aa28f3","https://s.shopee.com.my/2LSIAmeVSN",""
"2026-06-17","legacy-before-version-tracking","2086893425213463","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","f2c9fdb4","f2c9fdb4","https://s.shopee.com.my/7AY5d7DhWo",""
"2026-06-17","legacy-before-version-tracking","1162481622530489","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","939f4e28","939f4e28","https://s.shopee.com.my/8KjwZnmBvK",""
"2026-06-17","legacy-before-version-tracking","1190750882934288","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","e834c4a1","e834c4a1","https://s.shopee.com.my/50Tm2oXp8D",""
"2026-06-17","legacy-before-version-tracking","920475940725071","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","35420f6f","35420f6f","https://s.shopee.com.my/5fiJK74rJB",""
"2026-06-17","legacy-before-version-tracking","1468751904646261","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","5cba78ad","5cba78ad","https://s.shopee.com.my/9UunVFRdbk",""
"2026-06-17","legacy-before-version-tracking","1084254866510868","f60d442d","Media Masta","Active","2026-06-17","2025-07-25","326","7323165","7323165","https://s.shopee.com.my/5Ah4oSQk4X",""
"2026-06-17","legacy-before-version-tracking","1302501901216420","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","4fc10976","4fc10976","https://s.shopee.com.my/5L4x2Ib1BN",""
"2026-06-17","legacy-before-version-tracking","26355407987480678","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","cc0d07cf","cc0d07cf","https://s.shopee.com.my/9Kc95rskrx",""
